batch_index,post_block,batch_revenue_eth,batch_cost_eth,batch_net_eth,batch_revenue_to_cost
95,24184261,0.0001128762637373632,0.000110176002797376,2.700260939987203e-06,1.0245086123241667
96,24184271,0.000119419831257632,0.000119042458649088,3.77372608544e-07,1.0031700673257802
97,24184281,0.0001265629700180992,0.000120414891861696,6.148078156403203e-06,1.0510574569419924
98,24184291,0.00011089511836876158,0.00010256275189024,8.332366478521579e-06,1.0812416430424825
99,24184301,9.703996447642879e-05,0.000101854883028608,-4.814918552179203e-06,0.9527276610702421
100,24184311,0.00011202558089404161,0.000123261687795584,-1.1236106901542391e-05,0.9088434768135234
101,24184321,0.000112763950313184,0.000108282236589632,4.481713723552e-06,1.0413891868574603
102,24184331,0.00010096737763980163,9.7650836332544e-05,3.316541307257625e-06,1.0339632657723825
103,24184341,0.00010452030274182401,9.8286217717888e-05,6.234085023936016e-06,1.0634278657647585
104,24184351,8.944871037307522e-05,7.7323891348224e-05,1.2124819024851218e-05,1.1568055980298217
105,24184361,8.85208469404032e-05,9.3381288652032e-05,-4.860441711628797e-06,0.9479505821584844
106,24184371,8.662777103614081e-05,8.5140030098112e-05,1.4877409380288125e-06,1.017474047593293
107,24184381,8.110938788684161e-05,8.2405970043712e-05,-1.2965821568703906e-06,0.9842659196150155
108,24184391,8.87716119019264e-05,0.000102857583507456,-1.408597160552961e-05,0.8630536405270639
109,24184401,9.639995848225282e-05,9.2171681244608e-05,4.2282772376448125e-06,1.0458739298290944
110,24184411,8.885968397762559e-05,9.0702628769472e-05,-1.8429447918464063e-06,0.9796814621930043
111,24184421,0.0001036613526261056,0.000114929281550784,-1.1267928924678407e-05,0.9019577189325818
112,24184431,0.000111797507791776,0.000102273664039296,9.52384375248e-06,1.0931211748590597
113,24184441,0.00010109898931303678,9.8716417047872e-05,2.3825722651647813e-06,1.024135522098714
114,24184451,9.445946033991679e-05,9.8882780045952e-05,-4.423319706035203e-06,0.9552670373549406
115,24184461,0.00010507701473255679,0.00010934622199072,-4.269207258163203e-06,0.9609569751890877
116,24184471,0.0001136846695416192,0.000108688859357312,4.995810184307203e-06,1.0459643261862157
117,24184481,0.00010838845359005441,0.000104770913064704,3.617540525350406e-06,1.0345280996369317
118,24184491,0.00010043904739598078,9.3779348906816e-05,6.659698489164782e-06,1.0710145524232868
119,24184501,9.52783796446464e-05,0.00010115314783744,-5.8747681927935935e-06,0.9419220427797784
120,24184511,9.892652946672e-05,0.000101443345041344,-2.516815574624e-06,0.9751899390384037
121,24184521,9.79083869630464e-05,9.9775782795456e-05,-1.8673958324095938e-06,0.9812840773573501
