block_number,timestamp_utc,gas_used,gas_limit,gas_used_ratio
24398843,2026-02-06T16:01:11+00:00,30117810,60000000,0.5019635
24398844,2026-02-06T16:01:23+00:00,38098944,60000000,0.6349824
24398845,2026-02-06T16:01:35+00:00,53097978,59941408,0.8858313438349663
24398846,2026-02-06T16:01:47+00:00,46334632,59999943,0.772244600299037
24398847,2026-02-06T16:01:59+00:00,15590843,60000000,0.25984738333333335
24398848,2026-02-06T16:02:11+00:00,52185416,60000000,0.8697569333333334
24398849,2026-02-06T16:02:23+00:00,21851534,60000000,0.36419223333333334
24398850,2026-02-06T16:02:35+00:00,30493387,60000000,0.5082231166666666
24398851,2026-02-06T16:02:47+00:00,24062381,60000000,0.40103968333333334
24398852,2026-02-06T16:02:59+00:00,41901479,60000000,0.6983579833333333
24398853,2026-02-06T16:03:11+00:00,23431516,60000000,0.39052526666666665
24398854,2026-02-06T16:03:23+00:00,28093456,60000000,0.46822426666666667
24398855,2026-02-06T16:03:35+00:00,26534363,60000000,0.44223938333333335
24398856,2026-02-06T16:03:47+00:00,14110731,60000000,0.23517885
24398857,2026-02-06T16:03:59+00:00,39473485,60000000,0.6578914166666666
24398858,2026-02-06T16:04:11+00:00,12979606,60000000,0.21632676666666667
24398859,2026-02-06T16:04:23+00:00,51120244,59941408,0.8528368903179585
24398860,2026-02-06T16:04:35+00:00,30637262,59882873,0.5116197748227611
24398861,2026-02-06T16:04:47+00:00,8286608,59941351,0.13824526577654214
24398862,2026-02-06T16:04:59+00:00,37714503,59999886,0.6285762442948641
24398863,2026-02-06T16:05:11+00:00,37654982,60000000,0.6275830333333333
24398864,2026-02-06T16:05:23+00:00,10655238,60000000,0.1775873
24398865,2026-02-06T16:05:35+00:00,42093928,60000000,0.7015654666666666
24398866,2026-02-06T16:05:47+00:00,27524106,59941408,0.45918350800168056
24398867,2026-02-06T16:05:59+00:00,38737806,59999943,0.6456307133491777
24398868,2026-02-06T16:06:11+00:00,20126400,60000000,0.33544
24398869,2026-02-06T16:06:23+00:00,17999138,60000000,0.29998563333333333
24398870,2026-02-06T16:06:35+00:00,29557756,60000000,0.4926292666666667
24398871,2026-02-06T16:06:47+00:00,31159506,60000000,0.5193251
24398872,2026-02-06T16:06:59+00:00,11342962,60000000,0.18904936666666666
24398873,2026-02-06T16:07:11+00:00,42488697,60000000,0.70814495
24398874,2026-02-06T16:07:23+00:00,38398405,60000000,0.6399734166666666
24398875,2026-02-06T16:07:35+00:00,40641643,59941408,0.678022828559516
24398876,2026-02-06T16:07:47+00:00,29487951,59999943,0.491466316893001
24398877,2026-02-06T16:07:59+00:00,16670508,60000000,0.2778418
24398878,2026-02-06T16:08:11+00:00,41460961,60000000,0.6910160166666667
24398879,2026-02-06T16:08:23+00:00,19583583,60000000,0.32639305
24398880,2026-02-06T16:08:35+00:00,24451537,59941408,0.40792396801890274
24398881,2026-02-06T16:08:47+00:00,53975826,59999943,0.8995979546180569
24398882,2026-02-06T16:08:59+00:00,26330208,60000000,0.4388368
24398883,2026-02-06T16:09:11+00:00,38594649,60000000,0.64324415
24398884,2026-02-06T16:09:23+00:00,25405946,60000000,0.42343243333333336
24398885,2026-02-06T16:09:35+00:00,28010950,60000000,0.46684916666666665
24398886,2026-02-06T16:09:47+00:00,16255478,60000000,0.27092463333333333
24398887,2026-02-06T16:09:59+00:00,50217471,60000000,0.83695785
24398888,2026-02-06T16:10:11+00:00,30825784,60000000,0.5137630666666667
24398889,2026-02-06T16:10:23+00:00,23442168,60000000,0.3907028
24398890,2026-02-06T16:10:35+00:00,29043287,60000000,0.48405478333333335
24398891,2026-02-06T16:10:47+00:00,30714978,60000000,0.5119163
24398892,2026-02-06T16:10:59+00:00,35054564,60000000,0.5842427333333333
24398893,2026-02-06T16:11:11+00:00,53958118,60000000,0.8993019666666666
24398894,2026-02-06T16:11:23+00:00,19777205,60000000,0.3296200833333333
24398895,2026-02-06T16:11:35+00:00,23734956,60000000,0.3955826
24398896,2026-02-06T16:11:47+00:00,46465680,60000000,0.774428
24398897,2026-02-06T16:11:59+00:00,30244616,60000000,0.5040769333333334
24398898,2026-02-06T16:12:11+00:00,24286632,60000000,0.4047772
24398899,2026-02-06T16:12:23+00:00,10690981,60000000,0.17818301666666667
24398900,2026-02-06T16:12:35+00:00,44046961,60000000,0.7341160166666667
24398901,2026-02-06T16:12:47+00:00,33133457,60000000,0.5522242833333333
24398902,2026-02-06T16:12:59+00:00,35149235,60000000,0.5858205833333333
24398903,2026-02-06T16:13:11+00:00,25639671,60000000,0.42732785
24398904,2026-02-06T16:13:23+00:00,31642322,60000000,0.5273720333333334
24398905,2026-02-06T16:13:35+00:00,26950850,60000000,0.4491808333333333
24398906,2026-02-06T16:13:47+00:00,28297181,60000000,0.4716196833333333
24398907,2026-02-06T16:13:59+00:00,29144188,60000000,0.48573646666666664
24398908,2026-02-06T16:14:11+00:00,42153832,60000000,0.7025638666666667
24398909,2026-02-06T16:14:23+00:00,28664932,60000000,0.47774886666666666
24398910,2026-02-06T16:14:35+00:00,38237245,60000000,0.6372874166666667
24398911,2026-02-06T16:14:47+00:00,21569384,60000000,0.35948973333333334
24398912,2026-02-06T16:14:59+00:00,27159934,59941408,0.45310804177305947
24398913,2026-02-06T16:15:11+00:00,37696825,59999943,0.6282810135336295
24398914,2026-02-06T16:15:23+00:00,24728536,60000000,0.41214226666666665
24398915,2026-02-06T16:15:35+00:00,59964672,60000000,0.9994112
24398916,2026-02-06T16:15:47+00:00,33092708,59941408,0.5520842620180026
24398917,2026-02-06T16:15:59+00:00,27789145,59999943,0.4631528566618805
